tag_id,tag_column_name,comment,language_id
optional_plural,overabundance_tag,form does not contain a marker for plural (that is there in other forms with the same scenario),tedim
hort,paradigm_tag,form is a hortative (not from declarative paradigm),tedim
lou_neg,paradigm_tag,form is part of a paradigm negated with lou,tedim
unspec_par,paradigm_tag,form is part of subparadigm with unspecified function,tedim
formal,variants_tag,form is used in formal contexts,tedim
informal,variants_tag,form is informal/colloquial,tedim
unspecified,variants_tag,form is not used in special contexts,tedim
