grapheme_id,language_id
-,tedim
a,tedim
d,tedim
e,tedim
ei,tedim
h,tedim
i,tedim
iː,tedim
k,tedim
l,tedim
m,tedim
n,tedim
o,tedim
ou,tedim
p,tedim
t,tedim
u,tedim
uː,tedim
²,tedim
³,tedim
¹,tedim
â,tedim
ŋ,tedim
ʔ,tedim
Σ,tedim
