form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
tedim183,mu:³,1.sg.2.sg.fut.neg,koŋ¹-mu³ lou³ diːŋ¹ hiː³,koŋ¹-Σ lou³ diːŋ¹ hiː³,koŋ¹+Σ+lou³+diːŋ¹+hiː³,k o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim184,mu:³,1.sg.2.pl.fut.neg,hoŋ¹-mu³ kei¹ niŋ¹,hoŋ¹-Σ kei¹ niŋ¹,hoŋ¹+Σ+kei¹+n+iŋ¹,h o ŋ ⁵ Σ k ei ⁵ n i ŋ ⁵,h o ŋ ⁵ + Σ + k ei ⁵ + n + i ŋ ⁵,informal,,,Zhou2025Tedim,nopage,tedim
tedim185,mu:³,1.sg.3.pl.fut.neg,mu³ kei¹ niŋ¹,Σ kei¹ niŋ¹,Σ+kei¹+n+iŋ¹,Σ k ei ⁵ n i ŋ ⁵,Σ + k ei ⁵ + n + i ŋ ⁵,informal,,,Zhou2025Tedim,nopage,tedim
tedim186,mu:³,1.sg.2.pl.fut.neg,hoŋ¹-mu³ lou³ diːŋ¹,hoŋ¹-Σ lou³ diːŋ¹,hoŋ¹+Σ+lou³+diːŋ¹,h o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵,h o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim187,mu:³,1.sg.3.pl.fut.neg,mu³ lou³ diːŋ¹,Σ lou³ diːŋ¹,Σ+lou³+diːŋ¹,Σ l ou ¹ d ii ŋ ⁵,Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim188,mu:³,1.sg.2.pl.fut.neg,koŋ¹-mu³ kei¹ diːŋ¹ hiː³,koŋ¹-Σ kei¹ diːŋ¹ hiː³,koŋ¹+Σ+kei¹+diːŋ¹+hiː³,k o ŋ ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim189,mu:³,1.sg.2.pl.fut.neg,koŋ¹-mu³ lou³ diːŋ¹ hiː³,koŋ¹-Σ lou³ diːŋ¹ hiː³,koŋ¹+Σ+lou³+diːŋ¹+hiː³,k o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim190,mu:³,1.sg.3.pl.fut.neg,ka¹ mu³ kei¹ diːŋ¹ hiː³,ka¹ Σ kei¹ diːŋ¹ hiː³,ka¹+Σ+kei¹+diːŋ¹+hiː³,k a ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,k a ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim191,mu:³,1.sg.3.pl.fut.neg,ka¹ mu³ lou³ diːŋ¹ hiː³,ka¹ Σ lou³ diːŋ¹ hiː³,ka¹+Σ+lou³+diːŋ¹+hiː³,k a ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k a ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim192,mu:³,1.pl.excl.2.sg.fut.neg,hoŋ¹-mu³ kei¹ nuːŋ³,hoŋ¹-Σ kei¹ nuːŋ³,hoŋ¹+Σ+kei¹+nuːŋ³,h o ŋ ⁵ Σ k ei ⁵ n uu ŋ ¹,h o ŋ ⁵ + Σ + k ei ⁵ + n uu ŋ ¹,informal,,,Zhou2025Tedim,nopage,tedim
